frequency,swahili_word,tags,english_translation
12787,huo,PRON DEM ASS-OBJ 11,this 
12711,*marekani,N PROPNAME,*america 
12589,mwananchi,N 1/2,citizen 
12381,hicho,PRON DEM ASS-OBJ 7/8,this 
12196,ili,CONJ,so that 
12174,kwa,PREP,to 
12121,sasa,ADV,now 
12115,kwa,PREP,for 
11842,*tanzania,N PROPNAME,*tanzania 
11776,pamoja_na,MW> ADV,together with 
11516,ambaye,PRON 1/2,who 
11502,ake,PRON,his/her 
11437,moja,NUM 1/2 NUM-INFL,one 
11409,na,AG-PART,by 
11302,jana,ADV,yesterday 
11244,muda,N 3/4,time 
11153,mbalimbali,ADJ A-UNINFL,various 
11137,hadi,PREP,until 
11027,mkutano,N 3/4,meeting 
10967,juu_ya,PREP,on 
10954,kati_ya,PREP,between 
10801,ambao,PRON 1/2,who 
10773,mkuu,N 1/2,head 
10714,shirika,N 5/6,organization 
10699,fedha,N 9/10,:money 
10681,ambapo,PRON 16,where 
10670,*mungu,N PROPNAME AN,*god 
10643,wa_na,V IDIOM-V,have 
10643,pya,ADJ A-INFL,new 
10625,ote,PRON 1/2,all 
10496,hapa,ADV,here 
10472,fanya,V,be done 
10461,enye,1/2,with 
10345,*dar_es_*salaam,N PROPNAME,*dar es *salaam 
10231,saidia,V,help 
10149,maisha,N 6SG,life 
10038,tena,ADV,again 
9980,sheria,N 9/10,law 
9948,eleza,V,explain 
9935,tatizo,N 5/6,problem 
9861,kanisa,N 5/6,church 
9841,mwanamke,N 1/2,woman 
9784,kuhusu,PREP,concerning 
9692,jua,V,know 
9624,hata_hivyo,ADV,however 
9587,weka,V,place 
9431,baadhi_ya,ADV,some of 
9359,taarifa,N 9/10,report 
9303,suala,N 5/6,issue 
9264,sehemu,N 9/10,part 
9210,ni,V INIT,are 
9108,toka,V,appear 
9079,ake,PRON POSS 11,his/her/its 
9063,l',SINGLE-QUOTE-OPENING,' 
9063,hatua,N 9/10,step 
9039,kwa_ajili_ya,PREP,because of 
9028,moja,NUM 9/10 NUM-INFL,one 
8961,sana,AD-ADJ AR,much 
8886,etu,PRON,our 
8858,mpango,N 3/4,plan 
8819,maendeleo,N 6SG,development 
8806,toa,V,give 
8750,dhidi_ya,PREP,against 
8740,shiriki,V,participate 
8730,mara,N 9/10,time 
8712,mkoa,N 3/4,region 
8692,omba,V,ask 
8680,sh.,,sh. 
8666,chukua,V,take 
8625,mwandishi,N 1/2,writer 
8595,leo,ADV,today 
8510,maji,N 6SG,water 
8408,mahakama,N 9/10,court 
8386,ingi,PRON 1/2,many 
8239,amba,V,tell 
8226,timu,N 9/10,team 
8162,bila,PREP,without 
8072,nafasi,N 9/10,opportunity 
8071,ingia,V,enter 
8031,njia,N 9/10,way 
8013,ingine,ADJ A-INFL NE 1/2,other 
7969,kijana,N 7/8,youth 
7941,kwani,CONJ,for 
7938,hili,PRON DEM 5/6,this 
7936,tukio,N 5/6,event 
7931,*afrika,N PROPNAME,*africa 
7828,ote,PRON 5/6,all 
7824,hapo,PRON DEM ASS-OBJ 16,here 
7752,taja,V,mention 
7695,chakula,N 7/8,food 
7620,uchaguzi,N 11/10,election 
7611,wilaya,N 9/10,district 
7609,hata,ADV,until 
7575,dogo,ADJ A-INFL,small 
7532,hasa,ADV,especially 
7525,ingine,ADJ A-INFL NE 9/10,other 
7521,ambayo,PRON 9/10,which 
7477,ongeza,V,increase 
7468,zuri,ADJ A-INFL,good 
7461,jamii,N 9/10,community 
7410,haki,N 9/10,right 
7313,mwa,GEN-CON 18,of 
7288,fika,V,arrive 
7202,mji,N 3/4,town 
7156,ugonjwa,N 11/6,disease 
7092,nyumba,N 9/10,house 
7079,polisi,N 9/10,:police 
7058,ote,PRON 9/10,all 
7034,mbili,NUM NUM-INFL 9/10,two 
7017,sema,V,speak 
6954,kutoka,PREP,from 
6939,moja,NUM 5/6 NUM-INFL,one 
6880,mwezi,N 3/4,month 
6862,*ujerumani,N PROPNAME,*germany 
6856,msaada,N 3/4,assistance 
6840,wa_ni,V IDIOM-V,be 
6795,fika,V,arrive 
6793,mchezo,N 3/4,play 
6793,kitu,N 7/8,thing 
6758,onyesha,V,show 
6749,jeshi,N 5/6,army 
6697,aina,N 9/10,kind 
6691,kabla_ya,PREP,before 
6651,shinda,V,fail 
6607,jiji,N 5/6,in 
6606,*zanzibar,N PROPNAME,*zanzibar 
6578,ambazo,PRON 9/10,which 
6549,umoja,N 11,unity 
6542,huduma,N 9/10,service 
6535,muhimu,ADJ A-UNINFL,important 
6497,kesi,N 9/10,case 
6488,kwa,PREP,from 
6479,amani,N 9/10,:peace 
6465,zungumza,V,discuss 
6396,mfanyakazi,N 1/2,worker 
6329,ishi,V,live 
6288,jenga,V,build 
6236,jina,N 5/6,name 
6206,ndani_ya,PREP,inside 
6205,milioni,NUM NUM-UNINFL,million 
6199,taka,V,wish 
6189,kabisa,ADV,totally 
6168,*c*c*m,N PROPNAME,*c*c*m 
6148,kituo,N 7/8,station 
6126,hata,ADV,even 
6122,bado,ADV,still 
6096,huku,ADV,here 
6094,acha,V,leave 
6088,mkazi,N 1/2,inhabitant 
6048,pamoja,ADV,together 
5993,kwa_mujibu_wa,PREP,according to 
5960,waziri,N 9/6,*minister 
5923,gari,N 5/6,car 
5917,lengo,N 5/6,target 
5915,ingine,ADJ A-INFL NE 5/6,other 
5904,sababika,V,cause 
5902,polisi,N 9/10,:police officer 
5876,leta,V,bring 
5833,ja,V,come 
5809,ona,V,be seen 
5804,peleka,V,send 
5793,ita,V,call 
5765,lipa,V,pay 
5761,mwanafunzi,N 1/2,pupil 
5757,nguvu,N 9/10,power 
5751,ingi,PRON 9/10,many 
5714,kundi,N 5/6,group 
5686,kipindi,N 7/8,period 
5683,upande,N 11/10,direction 
5605,wale,PRON DEM 1/2,those 
5602,basi,ADV,then 
5596,jibu,V,answer 
5589,rais,N 9/6,*president 
5587,anza,V,begin 
5577,ingine,ADJ A-INFL NE 1/2,others 
5559,uwezo,N 11,ability 
5551,mwanachama,N 1/2,:party member 
5506,chini_ya,PREP,under 
5495,elimu,N 9/10,education 
5492,wiki,N 9/10,week 
5474,*iraq,N PROPNAME,*iraq 
5472,gazeti,N 5/6,newspaper 
5453,*israel,N PROPNAME,*israel 
5399,sana,AD-ADJ AR,very 
5398,kamanda,N 9/6,commander 
5376,shughuli,N 9/10,activity 
5340,kamati,N 9/10,committee 
5330,tangaza,V,announce 
5328,kuna,V,there is 
5309,mazingira,N 6SG,environment 
5302,amini,V,believe 
5287,ongoa,V,lead 
5280,neno,N 5/6,word 
5245,tayari,ADJ A-UNINFL,ready 
5239,pita,,past 
5239,biashara,N 9/10,trade 
5236,etu,PRON 0,our 
5234,mbunge,N 1/2,member of :parliament 
5189,kijiji,N 7/8,village 
5175,amua,V,decide 
5157,kwa_sababu,MW> PREP,because 
5155,*bwana,N PROPNAME AN,*lord 
5136,hakuna,V,there is not 
5132,wizara,N 9/10,ministry 
5128,shule,N 9/10,school 
5117,asilimia,N 9/10,:percent 
5073,bali,CONJ,but 
5044,hivyo,PRON DEM ASS-OBJ 7/8,these 
5039,uongozi,N 11/6,leadership 
5017,pata,V,be available 
5007,kampuni,N 9/10,company 
4997,silaha,N 9/10,weapon 
4954,tafuta,V,search 
4953,dunia,N 9/10,:earth 
4936,*ulaya,N PROPNAME,*europe 
4909,kitendo,N 7/8,action 
4885,nyumba,N 9/10,in 
4881,mali,N 9/10,property 
4867,wala,ADV,nor 
4860,matumizi,N 6SG,use 
4855,uliza,V,ask 
4828,*,N PROPNAME,*a*i*d*s 
4817,sababu,N 9/10,reason 
4801,pita,V,pass 
4789,hospitali,N 9/10,hospital 
4766,mjumbe,N 1/2,delegate 
4765,kiasi,N 7/8,quantity 
4762,mama,N 9/10,mother 
4762,afya,N 9/10,health 
4730,pinga,V,oppose 
4724,tekeleza,V,implement 
4719,baraza,N 5/6,council 
4706,fuata,V,follow 
4689,zuia,V,prevent 
4658,usalama,N 11,safety 
4645,kwa,"MW> ""wa"" CONJ <MW",because 
4644,dk.,N TITLE,*dr. 
4635,ambayo,PRON 3/4,which 
4630,hizi,PRON DEM 9/10,these 
4612,enda,V,operate 
4610,ondoka,V,leave 
4603,ofisi,N 9/10,office 
4601,fuata,V,follow 
4585,waziri,N TITLE,*minister 
4580,zima,ADJ A-INFL,whole 
4580,dawa,N 9/10,medicine 
4578,ambalo,PRON 5/6,which 
4569,enye,3/4,with 
4558,mkoa,N 3/4,in 
4556,utaratibu,N 11/10,procedure 
4540,kamata,V,catch 
4537,mwili,N 3/4,body 
4533,afisa,N 9/6,officer 
4515,kubali,V,agree 
4496,andika,V,write 
4445,mradi,N 3/4,project 
4413,mgonjwa,N 1/2,patient 
4413,andaa,V,prepare 
4409,zungumzo,N 5/6,discussion 
4403,hakiki,V,ensure 
4401,umoja_wa_*mataifa,N 11,*united *nations 
4395,kuta,V,meet 
4383,uamuzi,N 11/6,decision 
4375,refu,ADJ A-INFL,long 
4363,wa_na,V MOD-CAN IDIOM-V,have 
4345,mchezaji,N 1/2,dancer 
4345,kuta,V,meet 
4343,pale,PRON DEM 16,there 
4341,la,V,eat 
4338,lazima,ADV,necessarily 
4337,tuma,V,be used 
4326,ambayo,PRON 5/6,which 
4308,funga,V,imprison 
4301,penda,V,like 
4288,bora,ADJ A-UNINFL,excellent 
4281,dai,N 5/6,assertion 
4279,piga,V,hit 
4259,huko,ADV,in 
4250,husu,V,be concerned 
4238,mwenyekiti,N TITLE,*chairman 
4234,kiwango,N 7/8,rate 
4219,pasa,V,suit 
4202,tume,N 9/10,commission 
4193,pokea,V,receive 
4191,yeye,PRON PERS,he 
4168,funzo,N 5/6,lesson 
4165,utawala,N 11/10,administration 
4156,baadaye,ADV,afterwards 
4147,mimi,PRON PERS,*i 
4128,barabara,N 9/10,highway 
4115,angalia,V,look at 
4110,taasisi,N 9/10,institute 
4084,kikao,N 7/8,session 
4083,tegemea,V,rely on 
4078,hitaji,V,need 
4075,vita,N 9/10,war 
4073,tambua,V,recognize 
4071,rudi,V,return 
4068,haya,PRON DEM 5/6,these 
4068,*spika,N PROPNAME AN,*speaker 
4058,tatu,NUM 9/10 NUM-INFL,three 
4034,wili,NUM 1/2 NUM-INFL,two 
4013,aidha,ADV,moreover 
4012,ile,PRON DEM 9/10,that 
4000,punga,V,decrease 
3990,juzi,ADV,the day before yesterday 
3980,panga,V,arrange 
3977,kabili,V,face 
3976,idadi,N 9/10,number 
3943,kaa,V,stay 
3929,askofu,N 9/6,bishop 
3926,pita,V,review 
3925,askari,N 9/10,soldier 
3915,huko,PRON DEM ASS-OBJ 17,there 
3902,kadhaa,ADJ A-UNINFL,some 
3899,soma,V,read 
3898,dunia,N 9/10,:earth 
3893,fa,V,die 
3889,pata,V,get 
3868,unda,V,construct 
3860,imani,N 9/10,faith 
3859,ua,V,kill 
3832,huu,PRON DEM 11,this 
3829,jumuiya,N 9/10,community 
3828,jimbo,N 5/6,province 
3828,anza,V,begin 
3817,ruhusu,V,permit 
3784,juhudi,N 9/10,effort 
3778,zidi,V,increase 
3774,chagua,V,choose 
3772,mfumo,N 3/4,structure 
3765,taraji,V,hope 
3763,sikia,V,hear 
3756,gani,INTERROG,what 
3755,mwalimu,N 1/2,teacher 
3739,wa_na,V,he 
3735,ya_kwanza,MW> ADJ,first 
3731,*kenya,N PROPNAME,*kenya 
3725,fungua,V,open 
3716,ina,V,have 
3715,kikundi,N 7/8,group 
3707,zingatia,V,consider 
3688,saa,N,o'clock 
3679,kifo,N 7/8,death 
3665,mkataba,N 3/4,contract 
3649,sisitiza,V,emphasize 
3646,*kristo,N PROPNAME AN,*christ 
3620,uhuru,N 11,freedom 
3619,tokeo,N 5/6,result 
3606,hivi_sasa,ADV,currently 
3590,angu,PRON,my 
3580,kua,V,grow 
3579,katibu,N 9/6,secretary 
3573,endelea,V,promote 
3557,bunge,N 5/6,parliament 
3556,uchumi,N 11,economy 
3551,zungumza,V,discuss 
3530,kosa,N 5/6,error 
3527,damu,N 9/10,:blood 
3518,mkurugenzi,N 1/2,director 
3516,msingi,N 3/4,basis 
3505,kuna,V,there are 
3499,vizuri,ADV,well 
3499,umri,N 11/10,age 
3499,mbele_ya,PREP,in front of 
3486,barua,N 9/10,letter 
3484,jaribu,V,try 
3483,*mtanzania,N PROPNAME AN 1/2,*tanzanian 
3480,fika,V,bring 
3469,familia,N 9/10,family 
3459,enyewe,PRON 1/2,themselves 
3452,nini,INTERROG,what 
3448,mke,N 1/2,wife 
3441,angu,PRON 0,my 
3438,raia,N 9/10,citizen 
3422,kuliko,ADV,than 
3415,miongoni_mwa,PREP,among 
3415,hakimu,N 9/6,magistrate 
3414,weza,V,empower 
3405,dini,N 9/10,religion 
3404,ujenzi,N 11,building 
3403,kali,ADJ A-INFL,sharp 
3402,lugha,N 9/10,language 
3393,uchunguzi,N 11/10,research 
3393,maliza,V,finish 
3392,kiwanda,N 7/8,factory 
3389,elekea,V,face 
3383,katiba,N 9/10,constitution 
3374,mzazi,N 1/2,parent 
3373,*yanga,N PROPNAME,*yanga 
3370,mfano,N 3/4,example 
3367,uza,V,sell 
3367,chache,ADJ A-INFL,few 
3366,nje_ya,PREP,outside of 
3364,dola,N 9/10,dollar 
